Reference,Value,Datasheet,Footprint,Qty,DNP
"24V1,CLK2",Conn_01x01_Pin,~,Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical,2,
BATGND1,Conn_01x01_Socket,~,Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Horizontal,1,
"D1,D2,D3,D4,D5,DWN1,ERR1,PWR1,UP1",LED,~,LED_THT:LED_D3.0mm,9,
"F0,F1,F2,F3",Conn_01x03_Pin,~,Connector_PinHeader_1.00mm:PinHeader_1x03_P1.00mm_Horizontal,4,
"Ff1,Ff2,Ff3,Ff4",TSSP58038,http://www.vishay.com/docs/82476/tssp58p38.pdf,OptoDevice:Vishay_MINICAST-3Pin,4,
"G0,G1,G2,G3,STOP1",SW_Push,~,Button_Switch_THT:SW_PUSH-12mm,5,
MOTOR1,Conn_01x05_Pin,~,Connector_PinHeader_1.00mm:PinHeader_1x05_P1.00mm_Horizontal,1,
PW2,Conn_01x02_Pin,~,Connector_PinHeader_1.00mm:PinHeader_1x02_P1.00mm_Horizontal,1,
"R1,R2,R3,R4,R5,R6,R7,R16,R17,R18,R19",100,~,Resistor_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P20.32mm_Horizontal,11,
"R8,R9,R10,R11,R12,R13,R15,R20,R21,R22",R,~,Resistor_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P20.32mm_Horizontal,10,
R14,12,~,Resistor_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P20.32mm_Horizontal,1,
Shift_register1,74HC595,http://www.ti.com/lit/ds/symlink/sn74hc595.pdf,Package_DIP:DIP-16_W7.62mm,1,
"U3,U4",74HC02,http://www.ti.com/lit/gpn/sn74hc02,Package_DIP:DIP-14_W7.62mm,2,
U7,74HC04,https://assets.nexperia.com/documents/data-sheet/74HC_HCT04.pdf,Package_DIP:DIP-14_W7.62mm,1,
